the_geom,STREETNAME,TYPE,CNN,FROM_ST,TO_ST,FACILITY_T,YEAR_INSTA,DIRECT,SHAPE_LENG,SURFACE_TR,BARRIER,INNOVATIVE,NOTES,DIR,DOUBLE,FY,QTR,STREET_,LENGTH,NUMBER_,SHARROW,UPDATE_YR,SM_SWEEPER,CONTRAFLOW,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,SHAPE_LEN
"LINESTRING (-122.3916341355079 37.77432755078522, -122.39157646352207 37.77415200898353, -122.39152630399795 37.77397501912583, -122.39148371089311 37.77379678493008, -122.39144873473583 37.77361750926679, -122.39143433539678 37.773466921566)",4TH,ST,19981000,CHANNEL ST,LONG BRIDGE ST,BIKE ROUTE,2011,2W,319.21455666,,,,,,1,0,0,4th St,0.06,19,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,319.214556666
"LINESTRING (-122.39143433539678 37.773466921566, -122.39137353233207 37.772830995219735)",4TH,ST,19982000,LONG BRIDGE ST,MISSION ROCK ST,BIKE LANE,2011,2W,232.2201322,,,,,,1,0,0,4th St,0.04,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,232.220132202
"LINESTRING (-122.39137353233207 37.772830995219735, -122.39128424800653 37.771897176720664)",4TH,ST,19983000,MISSION ROCK ST,CHINA BASIN ST,BIKE LANE,2011,2W,341.00084535,,,,,,1,0,0,4th St,0.06,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,341.000845346
"LINESTRING (-122.39128424800653 37.771897176720664, -122.39119934815182 37.77100919184933)",4TH,ST,19984000,CHINA BASIN ST,MISSION BAY BLVD,BIKE LANE,2011,2W,324.26378312,,,,,,1,0,0,4th St,0.06,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,324.26378312
"LINESTRING (-122.39119934815182 37.77100919184933, -122.39115601759197 37.770555976051206)",4TH,ST,19985000,MISSION BAY BLVD,MISSION BAY BLVD,BIKE LANE,2011,2W,165.49993233,,,,,,1,0,0,4th St,0.03,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,165.499932327
"LINESTRING (-122.39115601759197 37.770555976051206, -122.39107040774198 37.76966054027687)",4TH,ST,19986000,MISSION BAY BLVD,NELSON RISING LN,BIKE LANE,2011,2W,326.98452028,,,,,,1,0,0,4th St,0.06,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,326.984520276
"LINESTRING (-122.39107040774198 37.76966054027687, -122.39098039591478 37.76871902745094)",4TH,ST,19987000,NELSON RISING LN,GENE FRIEND WY,BIKE LANE,2011,2W,343.81028339,,,,,,1,0,0,4th St,0.07,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,343.810283386
"LINESTRING (-122.39098039591478 37.76871902745094, -122.39089041456968 37.76777781945953)",4TH,ST,19988000,GENE FRIEND WY,CAMPUS WY,BIKE LANE,2011,2W,343.6989068,,,,,,1,0,0,4th St,0.07,33,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,343.698906809
"LINESTRING (-122.39089041456968 37.76777781945953, -122.39079716920703 37.76680244187795)",4TH,ST,19989000,CAMPUS WY,16TH ST,BIKE LANE,2011,2W,356.17645148,,,,,,1,0,0,4th St,0.07,33,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,356.176451482
"LINESTRING (-122.41484189175759 37.76049887231664, -122.41469003061493 37.75889598938516)",FOLSOM,ST,5694000,19TH ST,20TH ST,BIKE LANE,2013,2W,585.29084195,,,,,,1,2014,0,Folsom St,0.11,33,0,2014,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,585.290841953
"LINESTRING (-122.41469003061493 37.75889598938516, -122.4145414679077 37.75729764405125)",FOLSOM,ST,5695000,20TH ST,21ST ST,BIKE LANE,2013,2W,583.57223956,,,,,,1,2014,0,Folsom St,0.11,33,0,2014,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,583.572239572
"LINESTRING (-122.4145414679077 37.75729764405125, -122.41438760136705 37.75569946455644)",FOLSOM,ST,5696000,21ST ST,22ND ST,BIKE LANE,2013,2W,583.62678609,,,,,,1,2014,0,Folsom St,0.11,33,0,2014,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,583.626786088
"LINESTRING (-122.41438760136705 37.75569946455644, -122.41423350930633 37.75409888283827)",FOLSOM,ST,5697000,22ND ST,23RD ST,BIKE LANE,2013,2W,584.50382226,,,,,,1,2014,0,Folsom St,0.11,51,0,2014,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,584.503822264
"LINESTRING (-122.41423350930633 37.75409888283827, -122.41408603126482 37.752506065320006)",FOLSOM,ST,5698000,23RD ST,24TH ST,BIKE LANE,2013,2W,581.54158153,,,,,,1,2014,0,Folsom St,0.11,525,0,2014,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,581.541581533
"LINESTRING (-122.44111041739143 37.774567482931886, -122.44092179243532 37.77363529630841)",BAKER,ST,2607000,FELL ST,HAYES ST,BIKE LANE,0,2W,343.77915103,,,,,,1,0,0,Baker St,0.07,65,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,343.779151031
